Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
48,3205 105 2023 012 029 1,3205,12/29/2023,CUACA EKSTREM,Kec. Tarogong Kidul Ds. Sukagalih,GARUT,JAWA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi Disertai angin kencang,,,,1,,0
49,1406 101 2023 012 029 1,1406,12/29/2023,BANJIR,Kec. Kepenuhan Hulu Ds.Pekan Tebih Kec. Kepenuhan Ds. Kepenuhan Barat Ds. Kepenuhan Timur Kel. Kepenuhan Ds. Kepenuhan Hilir Ds. Ulak Patian Ds. Rantau Binuang Sakti Ds. Bonai Ds. Teluk Sano Ds. Sontang Ds. Kasang Mungkal,ROKAN HULU,RIAU,Dokumentasi,,,,,4556,,0
50,1503 101 2023 012 029 1,1503,12/29/2023,BANJIR,Kec Bathin VIII Desa Teluk Mancur,SAROLANGUN,JAMBI,Dokumentasi,,,,,0,15,43
51,1403 101 2023 012 029 1,1403,12/29/2023,BANJIR,Kec. Siak Kecil Ds. Muara Dua,BENGKALIS,RIAU,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,,,,0,25,0
52,3402 105 2023 012 028 1,3402,12/28/2023,CUACA EKSTREM,KEC Sewon KEL Timbulharjo,BANTUL,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,0,,0
53,1407 101 2023 012 028 1,1407,12/28/2023,BANJIR,Kec. Kubu Babussalam Kep. Teluk Nilap Kep. Jojol Kep. Sei Majo Kep. Sei Majo Pusako Kep. Sei Pinang,ROKAN HILIR,RIAU,Dokumentasi,,,,,0,1925,0
54,3471 107 2023 012 028 1,3471,12/28/2023,CUACA EKSTREM,KEC Tegalrejo KEL Karangwaru KEC Gedongtengen KEL Pringgokusuman,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,7,,0
55,1674 101 2023 012 028 1,1674,12/28/2023,BANJIR,Kec. Prabumulih Timur Kel. Muaradua  Kel. Tugu Kecil Kel. GIB Kel. Mangga Besar Kel. Sido gede Kel. Karang Raja Kel. Pasar I Kel. Prabumulih Kel. Sukaraja Kel. Majasari Kel. Gunung Ibul Timur Kel. Anak Petai Kel. Muaradua Barat Kel. Patih Galung  Kel. Wonosari,KOTA PRABUMULIH,SUMATERA SELATAN,Dokumentasi,●Dipicu intensitas hujan deras yg terjadi di kota Prabumulih mulai dari pukul. 03.00 WIB s.d sekarang dan banyaknya drainase yg tersumbat (buntu),,,,0,216,0
56,3402 105 2023 012 028 1,3402,12/28/2023,CUACA EKSTREM,KEC Sewon KEL Pendowoharjo,BANTUL,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,0,,1
57,3202 108 2023 012 028 1,3202,12/28/2023,GEMPABUMI,Kec. Nyalindung Ds. Mekarsari,SUKABUMI,JAWA BARAT,Dokumentasi,"●Dampak gempa  Mag:5.5, 28-Des-23 05:43:54 WIB, Lok:8.11 LS,107.89 BT (80 km BaratDaya KAB-PANGANDARAN-JABAR), Kedalaman:14 Km yg terjadi pada hari kamis",,,,1,,0
58,1404 101 2023 012 028 1,1404,12/28/2023,BANJIR,Kec. Kemuning Ds. Lubuk Besar Kec. Talang Ds. Jangkang,INDRAGIRI HILIR,RIAU,Dokumentasi,,,,,0,71,0
59,1406 101 2023 012 028 1,1406,12/28/2023,BANJIR,Kec. Tambusai   Ds. Lubuk Soting kec. Kuntu Darussalam   Kel. Koto Lama   Kel. Koto Lama   Koto Intan,ROKAN HULU,RIAU,Dokumentasi,,,,,786,,11
60,3201 105 2023 012 028 1,3201,12/28/2023,CUACA EKSTREM,Kec. Nanggung  Ds. Kalong Liud,BOGOR,JAWA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi disertai angin kencang,,,,4,,0
61,1104 101 2023 012 027 1,1104,12/27/2023,BANJIR,Kec. Kec. Bintang Kp. Linung Bulen II Kp. Kuala I,ACEH TENGAH,ACEH,Dokumentasi,"●Dipicu hujan deras selama beberapa hari belakangan di Kec. Bintang,  menyebabkan terjadinya Banjir Luapan dan Longsor",,,,15,,0
62,5201 102 2023 012 027 1,5201,12/27/2023,TANAH LONGSOR,Narmada,LOMBOK BARAT,NUSA TENGGARA BARAT,Dokumentasi,,,,,2,,0
63,1401 101 2023 012 027 1,1401,12/27/2023,BANJIR,Kec.Rumbio Jaya Ds.Alam Panjang Kec. Tapung Hilir Ds. Koto Aman Kec. Tambang Ds. Teluk Kenidai Kec. Siak Hulu Ds. Tanjung Balam Kec. Tapung Hilir Ds. Koto Bangun Kec. Tapung Hilir Ds. Cinta Damai,KAMPAR,RIAU,Dokumentasi,,,,,0,558,10
64,1308 101 2023 012 027 1,1308,12/27/2023,BANJIR,Kec. Rao Selatan Nagari Lansek Kodok Kec. Rao Nagari Padang Matinggi Utara,PASAMAN,SUMATERA BARAT,Dokumentasi,●Dipicu curah hujan yang tinggi menyebabkan meluapnya batang Sumpu tanjuang durian jorong 2 koto panjang,,,,0,58,0
65,1407 101 2023 012 027 1,1407,12/27/2023,BANJIR,Kec. Tanjung Medan Kep. Bagan Nenas Kel. Tanjung Medan,ROKAN HILIR,RIAU,Dokumentasi,,,,,0,362,0
66,1221 101 2023 012 027 1,1221,12/27/2023,BANJIR,Kec. Hutaraja Tinggi Ds. Hutaraja Tinggi Ds. Sigalapung Ds. Payaombur Ds. Ujung Padang Ds. Ujung batu II Ds. Ujung batu III Ds. Mananti sosa jae Ds. Ujung batu IV Ds. Tanjung Morang,PADANG LAWAS,SUMATERA UTARA,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,,,,0,40,0
67,5202 105 2023 012 027 1,5202,12/27/2023,CUACA EKSTREM,Kec. Batukliang Ds. Sade Barabali,LOMBOK TENGAH,NUSA TENGGARA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi disertai angin kencang,,,,1,,0
68,7312 105 2023 012 027 1,7312,12/27/2023,CUACA EKSTREM,Kec. Lilirilau Ds. Paroto,SOPPENG,SULAWESI SELATAN,Dokumentasi,●Dipicu oleh hujan disertai angin kencang,,,,14,,0
69,1409 101 2023 012 026 1,1409,12/26/2023,BANJIR,Kec. Inuman Ds. Pulau Sipan Ds. Ketaping Jaya Ds. Seberang Pulau Busuk,KUANTAN SINGINGI,RIAU,Dokumentasi,●Dipicu oleh intensitas hujan yang tinggi dan terus-menerus menyebabkan Sungai Batang Kuantan meluap,,,,1,7950,58
70,3511 105 2023 012 026 1,3511,12/26/2023,CUACA EKSTREM,Kec. Wonosari  Ds. Tumpeng Ds. Paserejo Ds. Tangsil Wetan,BONDOWOSO,JAWA TIMUR,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi disertai angin kencang,,,,33,,0
71,5271 105 2023 012 026 1,5271,12/26/2023,CUACA EKSTREM,"Mataram, Cakranegara, Selaparang",KOTA MATARAM,NUSA TENGGARA BARAT,Dokumentasi,,,,1,2,,0
72,9203 102 2023 012 026 1,9203,12/26/2023,TANAH LONGSOR,Distrik Fakfak Barat Kampung Werba,FAK FAK,PAPUA BARAT,Dokumentasi,●Dipicu intensitas curah hujan yang tinggi dan berlangsung cukup lama,,,,1,,0
73,1405 101 2023 012 026 1,1405,12/26/2023,BANJIR,Kec. Langgam Kel. Langgam Ds. Tambak Ds. Sotol Kec. Pangkalan Kerinci Ds. Kuala Terusan Ds. Rantau Baru  Kel. Pkl. Kerinci Timur  Kel. Pkl. Kerinci Kota Kel. Pkl. Kerinci Barat Kec. Teluk Meranti Ds. Teluk Binjai Ds. Labuhan Bilik Ds. Kuala Panduk Ds. Pangkalan Terap Kec. Pelalawan Kel. Pelalawan Ds. Sering Ds. Telayap Ds. Kuala Tolam Ds. Sungai Ara Ds. Lubuk Kembang Bunga,PELALAWAN,RIAU,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,,,,0,3438,51
74,3471 107 2023 012 026 1,3471,12/26/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Ngampilan KEL Ngampilan,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,0,,0
75,9105 101 2023 012 026 1,9105,12/26/2023,BANJIR,Distrik Yapen Selatan,KEPULAUAN YAPEN,P A P U A,Dokumentasi,,,,,4,11,0
76,1572 101 2023 012 026 1,1572,12/26/2023,BANJIR,Kec Hamparan Rawang Desa Tanjung Muda,KOTA SUNGAI PENUH,JAMBI,Dokumentasi,,,,,0,450,0
77,1307 101 2023 012 026 1,1307,12/26/2023,BANJIR,Kec. Harau Ds. Tarantang Ds. Harau Kec. Pangkalan Koto Baru Ds. Pangkalan Ds. Gunuang Malintang Ds. Koto Alam Kec. Bukit Barisan Ds. Maek Kec. Kapur IX Galugua,LIMA PULUH KOTA,SUMATERA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,1,,,1,1486,0
